Pixel,Resultado
1133,Positivo
1134,Positivo
1135,Positivo
1136,Positivo
1137,Positivo
1138,Positivo
1139,Positivo
1140,Positivo
1141,Positivo
1142,Positivo
1143,Positivo
1144,Positivo
1145,Positivo
1146,Positivo
1147,Positivo
1148,Positivo
1149,Positivo
1150,Positivo
1151,Positivo
1152,Positivo
1153,Positivo
1154,Positivo
1155,Positivo
1156,Positivo
1157,Positivo
1158,Positivo
1159,Positivo
1160,Positivo
1161,Positivo
1162,Positivo
1163,Positivo
1164,Positivo
1165,Positivo
1166,Positivo
1167,Positivo
1168,Positivo
1169,Positivo
1170,Positivo
1171,Positivo
1172,Positivo
1173,Positivo
1174,Positivo
1175,Positivo
1176,Positivo
1177,Positivo
1178,Positivo
1179,Positivo
1180,Positivo
1181,Positivo
1182,Positivo
1183,Positivo
1184,Positivo
1185,Positivo
1186,Positivo
1187,Positivo
1188,Positivo
1189,Positivo
1190,Positivo
1191,Positivo
1192,Positivo
1193,Positivo
1194,Positivo
1195,Positivo
1196,Positivo
1197,Positivo
1198,Positivo
1199,Positivo
1200,Positivo
1201,Positivo
1202,Positivo
1203,Positivo
1204,Positivo
1205,Positivo
1206,Positivo
1207,Positivo
1208,Positivo
1209,Positivo
1210,Positivo
1211,Positivo
1212,Positivo
1213,Positivo
1214,Positivo
1215,Positivo
1216,Positivo
1217,Positivo
1218,Positivo
1219,Positivo
1220,Positivo
1221,Positivo
1222,Positivo
1223,Positivo
1224,Positivo
1225,Positivo
1226,Positivo
1227,Positivo
1228,Positivo
1229,Positivo
1230,Positivo
1231,Positivo
1232,Positivo
1233,Positivo
1234,Positivo
1235,Positivo
1236,Positivo
1237,Positivo
1238,Positivo
1239,Positivo
1240,Positivo
1241,Positivo
1242,Positivo
1243,Positivo
1244,Positivo
1245,Positivo
1246,Positivo
1247,Positivo
1248,Positivo
1249,Positivo
1250,Positivo
1251,Positivo
1252,Positivo
1253,Positivo
1254,Positivo
1255,Positivo
1256,Positivo
